day,pS25,pS50,pS75
279,1.0374263882292345,1.163526598952114,1.2918324572022692
280,1.036526599651659,1.1643174461568315,1.2950235002059636
281,1.0369014895825654,1.1642359808416436,1.2943194830817655
282,1.037357565719084,1.1632902835008845,1.2950882994625734
283,1.038120503063272,1.1647606266668538,1.2962576690038878
284,1.0377415488671236,1.165053373818485,1.2973107624046751
285,1.0376794545788277,1.1652639775322666,1.2966422563135018
286,1.0385193650678133,1.1639161138693546,1.2985881135554118
287,1.038324773808175,1.164449118620518,1.3003971323664911
288,1.0380912694985938,1.1648941337409466,1.3009396548327095
289,1.0374083844791482,1.1645636683745368,1.302967581484373
290,1.0374847593211793,1.1660850703622114,1.3025552283841473
291,1.0382179409658214,1.1675088323817888,1.3026076841580558
292,1.038052292349415,1.1678078916185166,1.303981318200376
293,1.0380974069729223,1.1686190617838594,1.30599373589044
294,1.0388841631316872,1.1691397721290908,1.3065699912845172
295,1.0397614723816682,1.1693802119996914,1.306168437808216
296,1.0413392841883602,1.171397839891796,1.308469943824067
297,1.0405755946063342,1.1730669608120474,1.3097283417610166
298,1.0428480453356381,1.1732994565208734,1.309566444477006
299,1.0419631209847493,1.1736215322528536,1.3116596337023219
300,1.041011525769116,1.1747597570775188,1.3129277016395233
301,1.0409010451837206,1.174506403951808,1.3129806569169824
302,1.0397712075542358,1.174966523317758,1.312571603253137
303,1.0406930250895565,1.1755387860275452,1.3149114997357847
304,1.040972210769715,1.175797712841935,1.314470888528384
305,1.0417373580730445,1.1774455820033363,1.316360013238079
306,1.0418510733809192,1.1785792291486354,1.3154114514707924
307,1.0440902826851348,1.1797026615061967,1.3171836825820806
308,1.0441778687024696,1.1807623895717043,1.3201970244238206
309,1.0455946795642044,1.1784867076318082,1.3217581618350458
310,1.0452601531894437,1.1790184635894911,1.322823215317762
311,1.0446704210034867,1.1790349512485645,1.3243575622235833
312,1.045141497632223,1.1806586773996344,1.3227298802658733
313,1.0464531878234178,1.180646672236299,1.325237005385399
314,1.046218817172466,1.1815674889460561,1.3247794954071948
315,1.0458787015637807,1.1823656419393431,1.326674440120629
316,1.0455530320952875,1.1837850700405497,1.3277216153224727
317,1.0457638193241428,1.183108767037632,1.3305319937765159
318,1.0468844451209354,1.1843531823121243,1.330974295613571
319,1.0472801323180776,1.184543641067576,1.3298439903650208
320,1.0473178059592008,1.1846462180528103,1.3305279330683562
321,1.0479118423643525,1.18573060123685,1.330576788433493
322,1.0480714235641038,1.1858209243714346,1.3330463636828436
323,1.04784035903832,1.1862363175201986,1.3338554138130476
324,1.048760946282256,1.1860288701051185,1.3362464107223493
325,1.0489597163947657,1.1883828392030868,1.3362315048536046
326,1.0491525805679833,1.1879572849482085,1.3362110668738094
327,1.049387970227961,1.190588887149805,1.336711662062497
328,1.0514359910106863,1.1925598560473385,1.3389302697659762
329,1.0502538920762716,1.1928909259117295,1.3371418935884214
330,1.050919378020295,1.1936565577357123,1.3382671298368325
331,1.0520404688318266,1.1932437349109595,1.3397753671356951
332,1.0522804280010045,1.193349478839512,1.3401762844121978
333,1.0521322887478073,1.1932935501660802,1.3416743834334266
334,1.051949042677249,1.1940725528017193,1.3407559581815998
335,1.050497726587718,1.1953590552374105,1.3423246407637102
336,1.0519867521738848,1.1959664971548802,1.3426668906118895
337,1.0522399102277402,1.1966837837749718,1.3435335788549185
338,1.051896241898803,1.1967159695909733,1.3449981737232912
339,1.0526146059726995,1.1978191061731813,1.346879282001468
340,1.0513974736672698,1.19922406884037,1.3505893087640908
341,1.0503369985524498,1.2004535993707564,1.3499562775860277
342,1.0517723585558179,1.2002819652257997,1.3523112106882502
343,1.051327337689916,1.201148865786716,1.3529299907048893
344,1.052220538999645,1.2022269811273363,1.3520914188815307
345,1.054096991358985,1.203274763552352,1.3545082066273417
346,1.05382974200072,1.2029709618699331,1.3549604083312672
347,1.0539451437673257,1.202982020630175,1.3555801307048636
348,1.0535015323373171,1.2026457916584372,1.3566182183673943
349,1.0528025137519603,1.2032307650764924,1.3569750389371071
350,1.0548703700534667,1.2042288940570023,1.3582396285391296
351,1.0539793741356327,1.2038505362915106,1.3577621185012296
352,1.053206955990664,1.2042149284979646,1.3588954414931558
353,1.0560487913249794,1.204900251153643,1.3618910779975109
354,1.0562617619030694,1.203992145753542,1.3590539796399987
355,1.057015086118528,1.2051972129916306,1.36012091336741
356,1.0587967006660035,1.2053580416913219,1.3601995025155202
357,1.060146301483149,1.2061432572779522,1.362655669641217
358,1.059457800737495,1.207613543977636,1.3636579595125269
359,1.0598788840374587,1.2090594563994488,1.3656604035397453
360,1.0584608350646771,1.2096436297823634,1.3657594731362024
361,1.059902643366914,1.2098618802519776,1.366254120260453
362,1.0590275902754704,1.2111893370208662,1.3674114058598548
363,1.0592043217317748,1.211707521300261,1.369294088121292
364,1.059299774312413,1.2116899046516134,1.3670238088238265
365,1.0624645896139573,1.2115853530175957,1.3667772883048341
366,1.063901500204683,1.2129489351338376,1.369617479430979
367,1.063267215012075,1.212756143254755,1.3698019743772027
368,1.0641293280549726,1.2120739692332336,1.3711599072766714
369,1.0653067416347852,1.2131125461282835,1.3723528944819612
370,1.065316041962852,1.2153777856782582,1.375228343195616
371,1.0661913702185477,1.216439665482519,1.3755004487084044
372,1.0655963200846517,1.2157758410562685,1.3756335537934516
373,1.0662092325335268,1.218386287796235,1.3770648469312696
374,1.0667811479339737,1.21912118140165,1.3782773444914076
375,1.0656906879350296,1.2192027100773632,1.378342664901246
376,1.0661403524303967,1.2199456954076422,1.3769295816612959
377,1.068623706212378,1.2210642870132622,1.378278994628603
378,1.068007138392531,1.2219214989062213,1.3788480162505523
379,1.0690199147480697,1.2249314101067075,1.3794359367508895
380,1.0693785705747008,1.2235129437372503,1.3827104681976807
381,1.0683740333408014,1.2257892612888015,1.380823645202622
382,1.069554165330985,1.2256196920875797,1.3835081389985886
383,1.0694824046004343,1.2252418902686366,1.3852916216443258
384,1.06875284907394,1.225766882026227,1.38541392359034
385,1.0697552796265908,1.2261632460259175,1.3845454717416241
386,1.070564101531978,1.2268885083156633,1.3858211769363185
387,1.0686204413276,1.22786431328057,1.383735099463785
388,1.0669738147992505,1.2285456708200193,1.3862541887628708
389,1.0684866276046832,1.228269562280318,1.3896819119515191
390,1.0682860260939018,1.2288441761345639,1.3910956265980783
391,1.0702273149092514,1.2309854625916725,1.3921207239797755
392,1.0711344469875088,1.2288250998173729,1.3937403607885575
393,1.0703202660201927,1.2291757577309106,1.39392139587043
394,1.0711775900467084,1.2296487888054572,1.3958566226307783
395,1.0705268485513537,1.2314224778356762,1.3975461030909404
396,1.0714915972924113,1.2313758590871908,1.3975311882147383
397,1.0731355325524456,1.2317908517234666,1.3978586645636994
398,1.0747214220328738,1.2330618959800153,1.400982330672248
399,1.0746493631334695,1.2353705329374565,1.401618082305172
400,1.0739079541919114,1.2340335472119155,1.40322813322955
401,1.072841392358987,1.236399023000772,1.4023373208920689
402,1.0726001078356586,1.235296868027448,1.4022446082575009
403,1.0731020500575725,1.2368786148270599,1.4056133829803001
404,1.074871526532164,1.2375876883311037,1.4067559092007444
405,1.0742258755670593,1.2381426944238785,1.408590331710099
406,1.0742119602676459,1.2391424691406008,1.4075020157444755
407,1.0750348096625801,1.2387447307513222,1.4106974396612038
408,1.077130675532774,1.240088341880706,1.4107108919521296
409,1.0773382014964898,1.2399114424835065,1.413077947608063
410,1.0777283929781145,1.2399994240466274,1.4120725769568436
411,1.0780680204225102,1.2415582334783362,1.4137121017641696
412,1.078006897024352,1.2416931767382122,1.415592099559143
413,1.0783418826849593,1.2406487820602785,1.4177358220397123
414,1.0787052508525825,1.241453748314338,1.4186236683812463
415,1.081353928948803,1.2419368509353081,1.4210959495373114
416,1.0813575965632793,1.2433761940537214,1.419364457946971
417,1.0820475554066753,1.2450618496106123,1.4210071667515303
418,1.083426407985111,1.2452289091625874,1.4221742475586665
419,1.082471844491585,1.2469346673816681,1.4231251005870247
420,1.0831847095110985,1.2475281176846358,1.4256265504191696
421,1.083725665181411,1.2502175044523918,1.4255897358689162
422,1.0841820762057508,1.2489366621577476,1.4268144063400912
423,1.0845763162776545,1.2497699242604392,1.4268058599407116
424,1.0844370288157603,1.2490261578559758,1.4291034408320535
425,1.085596405213133,1.2506953390228501,1.4272271731861372
426,1.0845376911108524,1.2519103279381119,1.4296129488457416
427,1.08403297275892,1.2528574360696776,1.4317718853676873
428,1.0849921936402418,1.2535975941536388,1.432226566052371
429,1.0845012524150464,1.2529689988585813,1.4324217152794843
430,1.085366059781682,1.2546032469659316,1.434531541244419
431,1.0871385086596788,1.2569421980819482,1.432840858704095
432,1.0871377376082036,1.2561034794007018,1.433155853904877
433,1.0850359254525386,1.2550352987874787,1.4355513990204327
434,1.0862819557343686,1.2577439172409728,1.4357093290202263
435,1.0865380306505859,1.2585654460222475,1.4353871184435694
436,1.086296084313229,1.2588762663942323,1.437160104457732
437,1.0867463657120777,1.2602040854184797,1.4376764311080938
438,1.0876499313890249,1.2602951678353294,1.4393700055093712
439,1.0893334318029522,1.2608648400984683,1.438817156011347
440,1.0881092681533977,1.26223160211531,1.440151977074955
441,1.0894556485246132,1.262970062613253,1.4412922488236721
442,1.089139469373069,1.2626249303015744,1.4439260025244418
443,1.0875885058028738,1.2641908677330727,1.44477153292033
444,1.0902749436174128,1.2640503839794426,1.445322514427175
445,1.090201567661009,1.2642450744932465,1.44357624496849
446,1.0912104468088137,1.2653679817189767,1.44512948944004
447,1.0917830601634704,1.2658501792721681,1.445317270977205
448,1.0907089506005239,1.2665866034503859,1.44769173961599
449,1.0918101970892173,1.2680798000698,1.4494695817272798
450,1.0911798738900371,1.2687384390311744,1.4473496864321347
451,1.0918514890867734,1.267175520118784,1.4472275213225643
452,1.0910103197758323,1.2683298626096577,1.4498154303457564
453,1.090607748245516,1.267531248880225,1.4523747255251098
454,1.0930714364432301,1.2679607823138017,1.4526443867961847
455,1.0944951168240085,1.2699266645358454,1.4544207067309392
456,1.0936978553936112,1.2696808440288163,1.456955236687346
457,1.0934391003945378,1.2696039549013394,1.4570886946203168
458,1.094234850051591,1.2706092174443033,1.4607518473249455
459,1.094464843390261,1.2690704875408763,1.4618928603485477
460,1.096380316541268,1.2702102997033935,1.4609669318939182
461,1.0974560538903961,1.2695879259426808,1.4609685481683499
462,1.097176227296333,1.2709483950082379,1.4632984723885056
463,1.0982527542229628,1.2723219514467712,1.463877083644788
464,1.0963545172460099,1.2716886499368107,1.4660407487162956
465,1.0976230472077924,1.2737581364326092,1.463448639815196
466,1.0984099237559362,1.2745131878977258,1.4675110000094942
467,1.0996543012180355,1.2759676218539182,1.4680615007702387
468,1.0977819751500055,1.2744153935947982,1.4675820547507157
469,1.0970235200903793,1.2756230990341217,1.4684595932947002
470,1.0996241906248982,1.279176808405845,1.4686230530367475
471,1.099024676818912,1.279610160811957,1.4705872460636336
472,1.0988716209750846,1.2788923142839748,1.4712309976548164
473,1.0976806680212514,1.2804146348828647,1.471723559258378
474,1.1008586589049472,1.2813055787049503,1.4750153375754729
475,1.1012574658297558,1.2805474335303209,1.4772421892005063
476,1.1015316766993855,1.2814248474835759,1.4750695845757644
477,1.1015540969247453,1.2814163248986339,1.4747657507900187
478,1.1004504004424007,1.2834715551186773,1.4753186385580757
479,1.1022055286162398,1.2836044759577878,1.478104895877303
480,1.101756872330435,1.2844934105774801,1.4797613020115004
481,1.1033498190570505,1.2847153603314951,1.4799597254124155
482,1.101394457972382,1.2843749060069447,1.482787766943756
483,1.1020913167198247,1.2859010550129129,1.4831139058523
484,1.1046994231763245,1.2856357299126162,1.482569036570505
485,1.1041572521836953,1.2875629378453088,1.4866186026192705
486,1.1047203011636921,1.287785613047482,1.4863298863378545
